country,baseline,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
IRN,B1,SocialValue,0,0.0,3,3
IRN,B1,Gender,1,1.0,5,5
IRN,B1,SocialValue,0,1.0,1,1
IRN,B1,Gender,0,0.0,1,1
IRN,B1,Species,1,1.0,2,2
IRN,B1,Age,0,0.0,5,5
IRN,B1,SocialValue,1,1.0,5,5
IRN,B1,SocialValue,1,1.0,1,1
IRN,B1,Fitness,1,1.0,5,5
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Gender,0,1.0,3,3
IRN,B1,Gender,0,0.0,1,1
IRN,B1,Age,0,1.0,3,3
IRN,B1,Fitness,1,1.0,3,3
IRN,B1,Age,1,1.0,2,2
IRN,B1,Gender,0,0.0,4,4
IRN,B1,Gender,1,0.0,2,2
IRN,B1,SocialValue,1,1.0,1,1
IRN,B1,Age,1,0.0,3,3
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,Gender,0,1.0,4,4
IRN,B1,Age,0,0.0,3,3
IRN,B1,Fitness,1,0.0,2,2
IRN,B1,Species,0,0.0,1,1
IRN,B1,Gender,0,0.0,5,5
IRN,B1,SocialValue,0,0.0,5,5
IRN,B1,Utilitarianism,0,1.0,4,2
IRN,B1,Fitness,1,0.0,3,3
IRN,B1,SocialValue,0,0.0,4,4
IRN,B1,Species,0,0.0,2,2
IRN,B1,Species,1,1.0,3,3
IRN,B1,Fitness,1,1.0,4,4
IRN,B1,Fitness,1,1.0,5,5
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Fitness,1,1.0,1,1
IRN,B1,SocialValue,1,1.0,2,2
IRN,B1,Species,1,1.0,5,5
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,Gender,0,0.0,3,3
IRN,B1,Fitness,0,0.0,3,3
IRN,B1,SocialValue,1,0.0,5,5
IRN,B1,Gender,1,1.0,5,5
IRN,B1,SocialValue,1,1.0,1,1
IRN,B1,SocialValue,0,1.0,2,2
IRN,B1,Age,1,1.0,5,5
IRN,B1,Gender,1,1.0,4,4
IRN,B1,Fitness,0,0.0,4,4
IRN,B1,Gender,0,0.0,5,5
IRN,B1,Species,1,1.0,1,1
IRN,B1,Fitness,1,0.0,3,3
IRN,B1,SocialValue,1,1.0,5,5
IRN,B1,Gender,1,0.0,2,2
IRN,B1,Gender,0,0.0,4,4
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Fitness,1,1.0,1,1
IRN,B1,Gender,0,1.0,5,5
IRN,B1,Gender,1,1.0,5,5
IRN,B1,Fitness,0,0.0,1,1
IRN,B1,Age,0,1.0,5,5
IRN,B1,Utilitarianism,0,0.0,5,1
IRN,B1,Utilitarianism,0,0.0,4,3
IRN,B1,Age,1,1.0,1,1
IRN,B1,Age,1,1.0,2,2
IRN,B1,Age,0,0.0,1,1
IRN,B1,Utilitarianism,1,1.0,3,4
IRN,B1,Gender,1,0.0,2,2
IRN,B1,SocialValue,1,1.0,2,2
IRN,B1,Fitness,1,1.0,5,5
IRN,B1,Age,1,1.0,4,4
IRN,B1,Gender,1,1.0,2,2
IRN,B1,Gender,0,1.0,3,3
IRN,B1,Age,0,0.0,4,4
IRN,B1,Gender,1,0.0,4,4
IRN,B1,Fitness,1,0.0,5,5
IRN,B1,Fitness,1,0.0,1,1
IRN,B1,Fitness,0,0.0,3,3
IRN,B1,Age,1,1.0,1,1
IRN,B1,Fitness,0,0.0,3,3
IRN,B1,Species,1,1.0,1,1
IRN,B1,Gender,1,0.0,2,2
IRN,B1,Age,0,0.0,4,4
IRN,B1,Age,0,0.0,3,3
IRN,B1,Gender,0,0.0,4,4
IRN,B1,Age,0,0.0,3,3
IRN,B1,Fitness,0,1.0,4,4
IRN,B1,Gender,1,1.0,1,1
IRN,B1,SocialValue,0,0.0,2,2
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,SocialValue,1,0.0,3,3
IRN,B1,Fitness,1,0.0,5,5
IRN,B1,Gender,1,1.0,2,2
IRN,B1,Utilitarianism,0,0.0,5,2
IRN,B1,Gender,1,1.0,1,1
IRN,B1,Gender,1,1.0,4,4
IRN,B1,Fitness,0,0.0,2,2
IRN,B1,Age,0,0.0,1,1
IRN,B1,SocialValue,1,1.0,1,1
IRN,B1,Age,1,0.0,3,3
IRN,B1,SocialValue,0,0.0,1,1
IRN,B1,Age,1,0.0,5,5
IRN,B1,Gender,1,1.0,1,1
IRN,B1,Species,1,1.0,4,4
IRN,B1,SocialValue,0,0.0,1,1
IRN,B1,SocialValue,0,0.0,1,1
IRN,B1,Age,0,0.0,5,5
IRN,B1,Gender,0,1.0,2,2
IRN,B1,Fitness,1,1.0,1,1
IRN,B1,Gender,1,1.0,3,3
IRN,B1,Age,0,0.0,4,4
IRN,B1,SocialValue,0,0.0,1,1
IRN,B1,SocialValue,0,0.0,1,1
IRN,B1,Age,1,1.0,1,1
IRN,B1,Age,0,0.0,2,2
IRN,B1,Fitness,1,1.0,3,3
IRN,B1,SocialValue,0,0.0,2,2
IRN,B1,SocialValue,0,0.0,5,5
IRN,B1,Age,1,1.0,1,1
IRN,B1,Gender,0,0.0,5,5
IRN,B1,SocialValue,0,0.0,5,5
IRN,B1,Utilitarianism,0,1.0,3,2
IRN,B1,Gender,1,1.0,1,1
IRN,B1,Age,1,0.0,3,3
IRN,B1,Species,1,1.0,5,5
IRN,B1,Fitness,0,0.0,2,2
IRN,B1,Fitness,0,0.0,1,1
IRN,B1,Gender,0,0.0,1,1
IRN,B1,Age,0,0.0,2,2
IRN,B1,Fitness,0,1.0,3,3
IRN,B1,Gender,1,1.0,4,4
IRN,B1,Age,1,1.0,5,5
IRN,B1,SocialValue,1,0.0,5,5
IRN,B1,SocialValue,0,1.0,5,5
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Gender,0,1.0,2,2
IRN,B1,Fitness,0,0.0,2,2
IRN,B1,Age,1,0.0,4,4
IRN,B1,Fitness,0,0.0,1,1
IRN,B1,Species,0,1.0,3,3
IRN,B1,Utilitarianism,1,1.0,1,4
IRN,B1,Age,0,0.0,1,1
IRN,B1,Utilitarianism,1,1.0,1,2
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,Fitness,0,0.0,2,2
IRN,B1,Species,1,1.0,4,4
IRN,B1,Gender,0,1.0,3,3
IRN,B1,SocialValue,0,1.0,3,3
IRN,B1,Age,0,0.0,2,2
IRN,B1,Gender,0,1.0,5,5
IRN,B1,Age,1,0.0,2,2
IRN,B1,Fitness,1,1.0,4,4
IRN,B1,Gender,0,0.0,2,2
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Age,1,0.0,2,2
IRN,B1,Gender,1,1.0,1,1
IRN,B1,Gender,0,0.0,2,2
IRN,B1,Utilitarianism,1,1.0,3,5
IRN,B1,Species,1,1.0,3,3
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Fitness,1,1.0,1,1
IRN,B1,SocialValue,1,1.0,2,2
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,Fitness,1,1.0,2,2
IRN,B1,Gender,0,1.0,4,4
IRN,B1,SocialValue,0,0.0,3,3
IRN,B1,Gender,1,1.0,3,3
IRN,B1,Fitness,1,1.0,4,4
IRN,B1,Age,0,0.0,5,5
IRN,B1,Gender,1,1.0,5,5
IRN,B1,SocialValue,0,1.0,5,5
IRN,B1,Fitness,1,1.0,2,2
IRN,B1,Gender,0,1.0,5,5
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Fitness,1,1.0,4,4
IRN,B1,Age,1,0.0,4,4
IRN,B1,Age,0,0.0,4,4
IRN,B1,SocialValue,0,0.0,1,1
IRN,B1,Fitness,0,0.0,4,4
IRN,B1,Utilitarianism,0,0.0,5,3
IRN,B1,Fitness,0,0.0,2,2
IRN,B1,Age,1,1.0,3,3
IRN,B1,Species,1,1.0,2,2
IRN,B1,SocialValue,0,0.0,4,4
IRN,B1,SocialValue,0,0.0,4,4
IRN,B1,Fitness,0,0.0,5,5
IRN,B1,Age,1,0.0,4,4
IRN,B1,Fitness,1,0.0,2,2
IRN,B1,Age,1,1.0,1,1
IRN,B1,Gender,1,0.0,3,3
IRN,B1,SocialValue,0,0.0,3,3
IRN,B1,Age,1,0.0,5,5
IRN,B1,Age,0,0.0,1,1
IRN,B1,Gender,1,1.0,3,3
IRN,B1,SocialValue,0,1.0,5,5
IRN,B1,Species,0,0.0,5,5
IRN,B1,SocialValue,0,0.0,4,4
IRN,B1,SocialValue,1,0.0,5,5
IRN,B1,Age,1,1.0,5,5
IRN,B1,SocialValue,0,0.0,4,4
IRN,B1,Fitness,0,0.0,5,5
IRN,B1,SocialValue,1,1.0,1,1
IRN,B1,SocialValue,0,1.0,4,4
IRN,B1,Fitness,1,1.0,3,3
IRN,B1,Fitness,0,0.0,1,1
IRN,B1,Species,0,0.0,4,4
IRN,B1,SocialValue,1,1.0,3,3
IRN,B1,Fitness,0,0.0,1,1
IRN,B1,Gender,0,1.0,2,2
IRN,B1,Utilitarianism,1,1.0,1,5
IRN,B1,Gender,0,0.0,1,1
IRN,B1,Utilitarianism,0,0.0,5,4
IRN,B1,Fitness,0,0.0,4,4
IRN,B1,SocialValue,1,1.0,2,2
IRN,B1,SocialValue,1,1.0,2,2
IRN,B1,Age,0,0.0,1,1
IRN,B1,Age,1,1.0,2,2
IRN,B1,Utilitarianism,1,1.0,1,3
IRN,B1,Age,1,1.0,3,3
IRN,B1,Gender,1,0.0,4,4
IRN,B1,SocialValue,1,0.0,3,3
IRN,B1,SocialValue,1,1.0,1,1
IRN,B1,Fitness,0,0.0,1,1
IRN,B1,Fitness,1,0.0,4,4
IRN,B1,SocialValue,1,1.0,4,4
IRN,B1,Gender,0,1.0,3,3
IRN,B1,Fitness,1,1.0,2,2
IRN,B1,Age,1,1.0,1,1
IRN,B1,Utilitarianism,0,0.0,2,1
IRN,B1,Fitness,0,0.0,5,5
IRN,B1,Gender,1,1.0,3,3
IRN,B1,Gender,0,0.0,3,3
IRN,B1,Gender,1,0.0,2,2
IRN,B1,SocialValue,0,0.0,4,4
IRN,B1,SocialValue,0,0.0,2,2
IRN,B1,Age,0,0.0,2,2
IRN,B1,Gender,1,1.0,4,4
IRN,B1,Utilitarianism,0,0.0,3,1
IRN,B1,SocialValue,1,1.0,2,2
IRN,B1,Age,0,0.0,2,2
IRN,B1,SocialValue,0,1.0,3,3
IRN,B1,Gender,0,0.0,2,2
IRN,B1,Fitness,1,1.0,5,5
IRN,B1,Gender,0,0.0,4,4
